date,open,close,high,low,volume,money
2021-02-01,22.42,23.93,24.36,22.12,151359860.0,3529556986.77
2021-02-02,22.79,22.69,23.49,22.33,247899419.0,5679179941.74
2021-02-03,22.88,24.32,24.54,22.79,197328066.0,4690176486.28
2021-02-04,23.57,23.98,24.6,23.43,128788655.0,3084553750.95
2021-02-05,23.98,24.3,24.67,23.65,104198267.0,2517804159.63
2021-02-08,24.27,24.17,24.27,23.49,111245781.0,2650948251.38
2021-02-09,24.16,23.96,24.21,23.56,96658995.0,2302978158.4
2021-02-10,23.98,23.22,24.33,22.79,196876164.0,4569741959.9
2021-02-18,23.39,23.68,23.93,22.88,154436995.0,3619387651.71
2021-02-19,23.35,23.25,23.58,22.97,94657222.0,2197558286.91
2021-02-22,23.2,21.81,23.2,21.7,200772446.0,4445818547.6
2021-02-23,21.81,21.37,22.11,21.27,191909599.0,4160776611.31
2021-02-24,21.71,21.6,21.72,21.01,146564382.0,3144209051.81
2021-02-25,21.83,21.53,21.99,21.13,163483528.0,3524600794.46
2021-02-26,21.05,20.84,21.4,20.67,115422905.0,2424653753.46
2021-03-01,20.99,20.91,21.13,20.64,115464892.0,2408050906.4
